datetime,temp
13/09/2018,27.65
14/09/2018,28.56
15/09/2018,28.52
16/09/2018,28.8
17/09/2018,30.2
18/09/2018,30.38
19/09/2018,28.57
20/09/2018,29.37
21/09/2018,26.8
22/09/2018,28.95
23/09/2018,28.65
24/09/2018,29
25/09/2018,29.17
26/09/2018,29.04
27/09/2018,28.56
28/09/2018,29.36
29/09/2018,29.43
30/09/2018,29.7
01/10/2018,29.31
02/10/2018,29.28
03/10/2018,29.88
04/10/2018,29.72
05/10/2018,30.14
06/10/2018,29.92
07/10/2018,30.42
08/10/2018,30.15
09/10/2018,30.7
10/10/2018,29.8
11/10/2018,30.01
12/10/2018,29.79
13/10/2018,29.38
14/10/2018,30.17
15/10/2018,29.62
16/10/2018,29.59
17/10/2018,29.69
18/10/2018,28.38
19/10/2018,29.29
20/10/2018,29.1
21/10/2018,30.25
22/10/2018,28.86
23/10/2018,27.53
24/10/2018,29.48
25/10/2018,29.69
26/10/2018,29.71
27/10/2018,28.51
28/10/2018,28.19
29/10/2018,28.39
30/10/2018,28.81
31/10/2018,29.77
01/11/2018,28.94
02/11/2018,29.41
03/11/2018,28.41
04/11/2018,29.24
05/11/2018,29.09
06/11/2018,29.39
07/11/2018,28.6
08/11/2018,28.34
09/11/2018,27.41
10/11/2018,28.82
11/11/2018,28
12/11/2018,29.03
13/11/2018,28.77
14/11/2018,29.77
15/11/2018,29.78
16/11/2018,30.93
17/11/2018,30.07
18/11/2018,29.5
19/11/2018,29.1
20/11/2018,29.24
21/11/2018,28.68
22/11/2018,27.59
23/11/2018,27.48
24/11/2018,28.04
25/11/2018,28.37
26/11/2018,26.47
27/11/2018,27.6
28/11/2018,28.86
29/11/2018,27.49
30/11/2018,25.27
01/12/2018,23.93
02/12/2018,28.39
03/12/2018,26.71
04/12/2018,26.95
05/12/2018,28.34
06/12/2018,27.53
07/12/2018,28.89
08/12/2018,29.14
09/12/2018,28.7
10/12/2018,28.33
11/12/2018,28.47
12/12/2018,27.04
13/12/2018,28.93
14/12/2018,28.72
15/12/2018,27.95
16/12/2018,28.62
17/12/2018,13.23
18/12/2018,23.05
19/12/2018,28.59
20/12/2018,29.26
21/12/2018,29.04
22/12/2018,28.28
23/12/2018,26.99
24/12/2018,27.88
25/12/2018,27.03
26/12/2018,26.82
27/12/2018,28.65
28/12/2018,28.67
29/12/2018,29.24
30/12/2018,29.91
31/12/2018,26.63
01/01/2019,26.23
02/01/2019,27.81
03/01/2019,28.83
04/01/2019,29.84
05/01/2019,28.93
06/01/2019,29.92
07/01/2019,29.15
08/01/2019,28.07
09/01/2019,27.43
10/01/2019,28.26
11/01/2019,28.91
12/01/2019,28.48
13/01/2019,26.71
14/01/2019,27.41
15/01/2019,28.74
16/01/2019,27.5
17/01/2019,28.54
18/01/2019,27.27
19/01/2019,26.79
20/01/2019,28.06
21/01/2019,26.56
22/01/2019,25.91
23/01/2019,27.35
24/01/2019,27.13
25/01/2019,26.46
26/01/2019,28.11
27/01/2019,26.69
28/01/2019,27.45
29/01/2019,27.4
30/01/2019,27.98
31/01/2019,25.04
01/02/2019,26.97
02/02/2019,28.26
03/02/2019,28.02
04/02/2019,28.57
05/02/2019,28.37
06/02/2019,27.81
07/02/2019,28.87
08/02/2019,28.56
09/02/2019,29.22
10/02/2019,27.63
11/02/2019,27.33
12/02/2019,3.61
13/02/2019,0
14/02/2019,0
15/02/2019,0
16/02/2019,0
17/02/2019,0
18/02/2019,0
19/02/2019,17.78
20/02/2019,27.26
21/02/2019,27.02
22/02/2019,26.98
23/02/2019,27.71
24/02/2019,28.22
25/02/2019,28.57
26/02/2019,29.83
27/02/2019,29.41
28/02/2019,28.55
01/03/2019,27.62
02/03/2019,28.21
03/03/2019,25.84
04/03/2019,28.32
05/03/2019,27.43
06/03/2019,24.96
07/03/2019,27.2
08/03/2019,28.62
09/03/2019,28.04
10/03/2019,28.42
11/03/2019,27.49
12/03/2019,26.55
13/03/2019,27.89
14/03/2019,28.53
15/03/2019,28.37
16/03/2019,28.45
17/03/2019,27.37
18/03/2019,28.44
19/03/2019,27.45
20/03/2019,28.65
21/03/2019,28.65
22/03/2019,29.17
23/03/2019,28.96
24/03/2019,29.25
25/03/2019,27.76
26/03/2019,28.2
27/03/2019,28.08
28/03/2019,28.47
29/03/2019,28.38
30/03/2019,29.16
31/03/2019,28.38
01/04/2019,28.14
02/04/2019,27.3
03/04/2019,28.53
04/04/2019,29.01
05/04/2019,28.34
06/04/2019,28.14
07/04/2019,27.85
08/04/2019,28.09
09/04/2019,29.07
10/04/2019,29.88
11/04/2019,29.73
12/04/2019,29.5
13/04/2019,29.07
14/04/2019,29.92
15/04/2019,28.22
16/04/2019,28.29
17/04/2019,29.79
18/04/2019,29.79
19/04/2019,27.31
20/04/2019,27.94
21/04/2019,29.13
22/04/2019,30.3
23/04/2019,30.32
24/04/2019,26.62
25/04/2019,29.33
26/04/2019,28.62
27/04/2019,27.88
28/04/2019,28.51
29/04/2019,28.54
30/04/2019,28.05
01/05/2019,28.09
02/05/2019,29.88
03/05/2019,29.09
04/05/2019,28.97
05/05/2019,28.71
06/05/2019,28.16
07/05/2019,29.55
08/05/2019,29.14
09/05/2019,28.26
10/05/2019,28.52
11/05/2019,29.4
12/05/2019,29.26
13/05/2019,29.83
14/05/2019,29.98
15/05/2019,29.27
16/05/2019,28.49
17/05/2019,28.91
18/05/2019,28.91
19/05/2019,29.81
20/05/2019,30.19
21/05/2019,30.51
22/05/2019,30.4
23/05/2019,25.45
24/05/2019,20.13
25/05/2019,14.82
26/05/2019,9.5
27/05/2019,4.19
28/05/2019,0.22
